area_sqft,bedrooms,bathrooms,location,parking,house_age,price
2534,1,1,Downtown,0,25,83.72
1307,3,3,Rural,1,34,41.24
814,2,1,Suburb,1,16,36.21
710,3,3,Downtown,1,22,43.03
2224,1,1,Rural,0,7,56.39
904,3,2,Industrial Area,1,1,56.46
3028,5,4,Rural,0,30,63.65
400,2,1,Industrial Area,0,31,13.2
2988,3,2,Industrial Area,0,28,75.91
1948,1,1,Industrial Area,1,2,72.44
1732,3,3,City Center,0,7,108.9
1419,3,2,City Center,0,1,99.4
2079,3,2,Industrial Area,1,30,58.81
1774,3,3,Downtown,1,36,66.47
2572,4,4,Industrial Area,1,19,89.19
1880,2,1,Suburb,1,28,57.83
1905,1,1,Industrial Area,1,16,52.53
1545,4,4,City Center,0,9,108.9
1760,3,3,City Center,0,40,62.71
2015,4,4,Suburb,1,21,72.34
603,3,2,Suburb,0,5,31.44
856,4,4,Rural,1,33,28.91
2320,3,2,Downtown,1,30,87.19
1920,3,3,Downtown,1,11,115.03
1671,4,4,Downtown,1,11,106.17
1813,3,2,City Center,1,15,102.64
2043,2,2,Downtown,0,24,76.66
1422,2,2,Rural,1,21,37.05
1255,2,2,Rural,0,26,31.14
1937,2,2,Downtown,1,23,78.48
1115,2,2,Suburb,1,11,48.8
2086,3,2,Rural,0,17,59.85
608,3,2,Suburb,1,15,32.4
2520,3,2,City Center,0,3,143.3
2131,3,3,Rural,0,11,58.85
1979,1,1,Suburb,1,32,49.75
2488,1,1,Downtown,0,21,93.09
2966,2,2,City Center,0,17,133.33
2510,3,3,Industrial Area,1,32,58.45
511,2,2,Industrial Area,1,26,28.15
904,2,1,Downtown,0,18,48.61
1363,3,3,City Center,1,13,90.27
1818,4,4,City Center,1,24,109.07
2162,1,1,City Center,0,33,71.99
1292,3,3,City Center,0,23,71.69
1931,3,2,Industrial Area,1,37,35.96
1271,4,3,Suburb,1,22,46.06
1372,5,4,City Center,1,4,119.48
815,1,1,Suburb,0,35,26.43
1154,2,1,City Center,1,23,60.54
854,4,4,Rural,1,35,34.63
1117,3,2,Rural,0,4,39.59
2538,3,3,Rural,0,38,46.13
1135,3,3,City Center,1,5,90.09
3643,3,3,Suburb,1,35,76.93
2145,5,5,Industrial Area,1,3,107.16
1929,5,4,Downtown,1,9,129.08
1199,3,2,Industrial Area,1,0,62.15
2290,2,1,City Center,1,20,110.63
1397,4,4,Rural,0,39,30.07
1885,1,1,Rural,0,38,34.62
3592,2,2,Suburb,1,36,77.67
1733,4,3,City Center,1,2,128.92
2604,2,1,Industrial Area,1,30,47.34
1308,2,2,City Center,1,26,62.94
1776,2,1,City Center,1,16,80.3
3040,4,4,Rural,0,22,67.42
1361,3,3,Industrial Area,1,12,54.42
3069,3,3,Downtown,1,26,112.51
2295,2,2,Rural,0,19,56.65
1406,4,3,Industrial Area,0,12,65.51
2243,4,4,Suburb,1,23,77.44
2481,2,2,Rural,1,40,42.14
2235,3,3,Suburb,0,2,100.34
701,2,1,Rural,0,9,20.55
1291,5,4,City Center,1,0,116.93
1627,3,2,Industrial Area,1,12,56.32
1748,5,4,Suburb,1,13,89.86
2234,2,2,Rural,1,32,34.48
1924,4,4,Suburb,1,1,95.09
865,4,4,Rural,0,1,54.78
2066,3,3,Rural,1,38,22.59
2227,5,4,Downtown,0,40,77.77
2192,2,2,Downtown,1,30,87.06
2557,2,1,Downtown,0,3,133.56
2384,3,3,Suburb,1,33,70.62
2121,3,3,City Center,0,18,113.31
1751,3,3,Rural,1,36,32.27
637,2,1,Industrial Area,0,8,21.15
2101,3,2,Downtown,0,23,95.06
1945,2,1,Suburb,0,12,65.14
1990,3,3,Suburb,1,29,51.16
906,3,2,Suburb,1,18,46.55
1043,3,3,Industrial Area,1,40,28.99
2537,2,2,Industrial Area,1,9,81.72
1772,3,2,Downtown,1,13,78.24
2277,2,2,Industrial Area,1,39,30.08
1820,2,1,Downtown,1,19,80.23
1821,4,4,Industrial Area,1,3,79.1
2457,4,4,Industrial Area,0,37,51.61
1439,2,1,Industrial Area,1,38,33.55
1867,4,4,Downtown,0,4,110.67
1476,4,3,Rural,1,31,38.21
1496,4,4,Downtown,0,5,96.13
1584,2,1,Rural,1,13,51.02
1955,5,5,Suburb,0,5,87.49
1465,2,2,Suburb,1,13,55.38
2679,2,2,Downtown,1,11,130.43
1174,1,1,Rural,0,26,19.78
1669,3,2,Rural,0,25,41.55
1492,2,2,Rural,1,11,57.06
2813,2,2,Suburb,1,7,106.76
1938,2,2,Downtown,1,9,111.61
2522,4,4,City Center,0,15,144.57
760,4,3,Rural,1,25,27.63
1987,2,1,Rural,1,7,51.47
2423,4,4,City Center,0,40,85.09
1858,4,3,Downtown,0,28,79.78
2546,4,4,Rural,1,19,74.01
1438,2,2,Downtown,1,16,76.0
2787,3,2,Rural,0,18,62.61
3409,5,5,Industrial Area,1,16,105.57
1546,3,2,Rural,0,38,33.7
1488,2,1,Industrial Area,1,0,70.1
2817,3,3,Downtown,1,28,98.87
2906,3,2,Rural,0,13,75.52
1434,3,2,Suburb,1,16,57.56
1506,2,2,Suburb,1,12,62.16
1603,2,1,City Center,1,28,60.84
859,4,4,Suburb,0,33,36.99
1157,4,3,Industrial Area,0,26,46.97
1097,2,1,Suburb,1,32,23.96
1263,5,5,Suburb,0,28,60.3
1776,2,2,Suburb,1,36,38.65
1964,3,2,Rural,0,38,37.78
2885,4,4,City Center,1,18,152.66
1101,4,4,Downtown,0,23,66.01
2489,5,5,City Center,1,13,152.64
1650,2,2,Industrial Area,1,36,41.19
1765,4,4,Rural,0,4,58.32
2272,2,2,Rural,1,23,59.18
1014,3,3,Suburb,1,33,35.23
2068,3,2,Suburb,0,30,59.51
1917,3,3,Industrial Area,1,29,50.03
2145,2,2,Rural,1,8,73.3
2002,4,4,Downtown,0,26,90.0
3519,2,2,City Center,0,27,133.31
1354,1,1,Rural,1,25,35.99
1428,3,3,Downtown,1,17,77.21
1364,3,3,Downtown,1,35,57.44
1411,4,3,City Center,0,7,100.13
1354,2,1,Downtown,1,17,68.7
2632,2,1,Industrial Area,0,19,64.18
2794,4,3,Downtown,1,31,98.69
1400,3,2,Industrial Area,0,28,45.52
1217,2,2,Downtown,1,17,68.06
2130,3,2,Suburb,1,6,85.25
1413,3,3,Downtown,1,0,109.58
2243,3,2,Industrial Area,1,27,55.15
1942,3,2,Downtown,1,32,72.76
739,4,4,Downtown,1,3,83.34
2883,4,4,Downtown,1,19,139.58
3057,3,3,Industrial Area,0,35,58.58
1371,2,1,Downtown,1,30,55.7
1529,4,3,City Center,1,37,65.63
2000,3,2,City Center,0,27,87.19
2034,3,3,Industrial Area,0,2,76.18
2261,2,1,Suburb,0,5,80.84
3207,4,4,City Center,0,22,140.64
1676,3,2,Rural,1,6,65.12
1241,2,2,City Center,1,35,47.49
834,3,3,Rural,1,0,52.16
1288,4,4,Industrial Area,0,5,58.49
1777,1,1,Suburb,1,23,55.64
3056,5,4,Rural,1,36,71.62
1438,3,3,Rural,1,35,31.53
1957,3,3,City Center,0,23,95.28
1789,2,1,Rural,1,37,35.99
2632,2,2,Industrial Area,1,28,58.28
3569,5,4,Industrial Area,1,36,79.91
1428,2,2,Industrial Area,1,31,41.6
1457,4,4,City Center,0,24,92.04
2531,2,1,Suburb,1,9,89.29
2277,2,1,City Center,1,34,81.87
3093,1,1,Industrial Area,1,24,70.67
2209,3,3,City Center,1,26,102.49
1548,5,4,Industrial Area,1,31,46.77
2213,2,2,Downtown,1,11,105.4
2576,2,1,Downtown,0,3,132.0
2374,2,2,Rural,0,25,51.71
2155,3,3,Suburb,1,2,99.31
2547,3,2,Downtown,1,16,110.51
2619,4,3,Industrial Area,1,8,100.77
2768,3,3,City Center,1,28,120.69
2254,3,2,City Center,0,0,138.21
1683,2,2,Rural,1,17,58.44
1903,5,5,City Center,1,40,82.11
2645,2,1,Downtown,0,19,94.46
1228,1,1,City Center,1,40,42.16
2058,3,2,Downtown,1,33,68.59
1525,3,3,Downtown,1,27,71.08
1820,3,3,Suburb,1,34,53.74
2695,3,3,Rural,0,15,78.25
1934,4,4,Industrial Area,1,20,63.54
1833,2,1,Downtown,1,12,89.42
848,4,4,Rural,1,34,30.54
2322,3,2,Industrial Area,1,31,60.84
2252,3,3,City Center,0,37,72.08
3314,3,3,Rural,1,5,95.04
1585,2,2,Rural,0,37,25.76
1953,4,4,Rural,0,37,34.64
1975,3,3,City Center,1,12,120.13
2904,2,1,City Center,1,38,94.42
1733,3,3,Rural,0,12,59.94
1995,5,4,Suburb,1,11,93.31
2226,3,3,Downtown,1,32,79.33
1931,4,3,City Center,0,27,84.35
1487,2,2,Suburb,1,2,77.08
1936,1,1,City Center,0,17,81.59
2552,2,2,Rural,1,25,52.58
1081,3,2,Suburb,1,39,38.63
1893,2,1,Industrial Area,1,1,66.95
1310,1,1,Downtown,1,3,64.42
2637,4,4,Downtown,0,27,99.18
734,4,4,City Center,1,27,59.85
1409,3,2,Downtown,1,24,60.45
2064,2,2,Industrial Area,1,25,53.7
2896,2,2,Suburb,1,1,111.7
1754,1,1,Suburb,1,33,37.85
1411,3,3,Rural,1,29,34.97
3117,4,3,Suburb,0,20,102.1
786,3,3,City Center,1,36,46.78
400,2,1,Industrial Area,1,22,25.29
2108,3,2,Rural,1,32,40.62
1449,2,2,City Center,1,1,106.71
1085,2,1,City Center,0,26,64.54
2296,3,3,City Center,1,21,110.77
1971,3,2,Downtown,1,33,60.8
1405,2,2,City Center,1,15,69.45
904,1,1,Downtown,1,19,40.2
2411,5,5,Suburb,0,25,80.1
2255,2,2,Downtown,0,15,96.52
1731,1,1,City Center,1,5,98.78
3093,2,2,Industrial Area,1,22,71.09
1051,1,1,Industrial Area,1,36,22.55
732,2,2,Suburb,1,7,38.73
1316,4,3,City Center,0,5,109.66
1768,2,2,Downtown,1,36,50.43
1970,3,2,Industrial Area,1,21,54.38
1631,3,3,Rural,1,5,60.13
2046,3,3,City Center,0,31,78.36
924,4,4,City Center,0,16,79.0
2811,4,3,Rural,1,37,48.13
1742,1,1,Industrial Area,0,16,40.5
2582,4,3,Rural,1,36,59.4
2040,3,2,Suburb,1,22,62.24
2120,5,5,Downtown,1,12,132.52
2199,3,2,Downtown,0,31,73.47
2113,5,5,Industrial Area,0,21,67.05
2250,4,4,Rural,1,6,76.39
2730,2,1,City Center,0,21,104.76
1938,3,2,City Center,1,20,104.07
2296,5,4,City Center,0,5,153.06
1737,4,4,Suburb,1,13,85.62
2808,1,1,Suburb,1,15,95.19
1327,3,3,City Center,0,2,98.35
3061,2,1,Industrial Area,0,8,80.74
1772,1,1,Suburb,1,20,49.41
798,3,2,Suburb,1,29,39.36
1890,2,2,Downtown,0,29,66.77
1323,4,4,Downtown,1,31,69.47
2388,2,2,Industrial Area,0,22,60.02
1343,4,4,Suburb,0,2,72.21
1488,1,1,Suburb,1,0,67.03
477,2,1,Rural,1,2,14.83
1483,2,1,Industrial Area,1,36,31.03
400,2,2,Industrial Area,0,6,23.62
691,1,1,Rural,0,2,24.37
2332,2,2,Rural,1,35,36.14
2350,3,2,Downtown,0,2,117.26
2098,2,2,Industrial Area,1,3,73.24
1123,3,2,Industrial Area,0,30,31.55
1767,2,2,Rural,1,1,69.83
1797,4,4,City Center,0,13,105.51
989,4,3,City Center,0,36,47.01
2852,3,3,Downtown,1,30,112.16
2414,2,2,City Center,1,1,150.51
1645,2,2,City Center,0,30,58.25
1819,5,5,City Center,1,21,117.05
1946,1,1,Suburb,0,9,70.34
400,2,1,Downtown,1,29,27.4
1627,2,1,Rural,1,32,27.0
1323,2,2,City Center,0,18,63.85
1099,2,1,Suburb,1,24,35.23
1603,4,4,City Center,1,0,132.62
3058,2,2,Suburb,1,31,75.14
2249,3,3,Downtown,1,24,94.02
1400,2,2,City Center,0,40,45.72
2201,1,1,Suburb,0,16,56.77
2780,4,3,Industrial Area,1,13,107.45
2447,2,2,Industrial Area,0,12,74.3
1842,4,4,Suburb,1,37,63.68
1347,3,3,City Center,1,38,51.55
2289,1,1,City Center,0,1,128.78
2075,5,4,Downtown,0,31,83.16
2427,2,2,Downtown,1,31,85.98
2245,4,4,Rural,0,39,50.76
2535,2,2,Downtown,1,5,137.39
1425,4,4,City Center,1,24,85.8
2722,1,1,Rural,1,2,71.74
1938,3,3,Downtown,1,17,96.11
3253,4,4,Suburb,1,37,84.75
1318,5,5,Industrial Area,0,2,66.77
3015,4,4,Downtown,1,4,166.44
1939,4,3,Downtown,0,23,77.75
1344,4,3,Suburb,0,33,38.53
1461,2,2,City Center,1,38,57.74
1576,2,2,Suburb,0,23,55.03
2097,2,2,Downtown,0,35,70.9
2166,2,2,City Center,0,27,99.15
1398,2,1,Rural,0,33,36.34
1783,3,3,Downtown,1,15,92.69
3300,2,1,Suburb,0,35,66.0
3009,3,2,Rural,1,6,88.14
2105,2,2,Industrial Area,1,17,59.28
1827,2,2,Rural,1,5,60.0
1884,3,3,Suburb,1,27,67.66
2229,4,4,Rural,1,38,49.66
1084,3,3,Suburb,0,33,45.72
1620,3,3,Downtown,1,40,61.28
632,2,1,City Center,1,28,29.42
2079,3,3,Industrial Area,1,3,78.16
2253,1,1,City Center,1,13,109.51
1462,2,1,City Center,0,4,85.32
2902,3,2,City Center,1,24,133.19
942,1,1,Suburb,0,38,21.78
775,2,1,Suburb,1,7,39.14
1957,5,5,Industrial Area,1,14,69.27
2533,5,5,Suburb,1,18,96.87
2979,2,2,Suburb,1,10,108.42
1479,1,1,Suburb,1,19,49.75
2555,2,1,Suburb,1,35,63.71
1773,2,1,Downtown,0,17,76.57
1679,5,4,Industrial Area,1,13,70.14
2419,2,2,Suburb,1,37,50.86
2257,4,4,Industrial Area,1,24,68.71
697,2,2,Rural,1,15,27.49
2834,5,5,Downtown,1,17,151.35
2766,2,1,Suburb,1,0,118.76
1362,4,3,Downtown,0,39,49.54
2077,2,2,Downtown,1,0,112.99
2146,3,3,Rural,1,0,68.82
1982,2,2,Industrial Area,1,20,56.07
1415,2,2,Downtown,1,24,59.9
1330,5,5,City Center,0,26,98.27
1782,4,4,Rural,1,9,58.98
2621,4,4,City Center,1,11,155.12
2181,3,3,Rural,1,27,48.76
1541,4,4,City Center,1,31,79.57
2340,1,1,City Center,0,32,74.12
400,2,1,Downtown,0,7,35.54
2604,2,2,Downtown,1,25,100.29
582,3,2,Rural,0,40,21.44
1546,2,2,Industrial Area,1,1,57.26
1016,2,2,Downtown,0,34,44.45
894,3,3,Downtown,0,33,38.78
2613,4,4,Suburb,1,5,108.64
1473,2,1,Downtown,1,30,54.32
2043,2,2,Industrial Area,0,22,53.92
1767,2,1,Suburb,0,11,54.97
2134,2,1,City Center,0,27,86.65
1854,2,2,City Center,1,14,94.13
902,3,3,Suburb,0,18,37.16
2497,3,2,Suburb,1,11,95.15
1454,3,3,Suburb,1,1,81.94
710,2,1,Rural,1,10,20.67
1500,4,4,Industrial Area,0,36,45.52
2851,2,2,Industrial Area,1,37,42.7
2395,3,3,City Center,1,24,113.21
1556,4,4,City Center,0,20,84.18
1556,2,1,City Center,0,35,48.97
1575,2,2,Downtown,1,8,96.34
3254,4,3,City Center,0,11,164.8
2067,2,2,Suburb,1,9,80.35
2101,3,3,City Center,1,4,128.88
2521,1,1,Suburb,1,32,64.88
1967,3,3,Rural,1,4,71.34
1619,2,2,Downtown,1,15,82.79
1663,1,1,Downtown,0,36,53.34
1750,3,2,Industrial Area,0,36,36.57
1774,2,2,Rural,1,28,47.23
2309,2,2,Suburb,1,17,87.41
1836,1,1,Rural,1,28,39.56
2313,2,1,Downtown,1,5,108.86
1743,2,2,Suburb,0,17,51.92
1855,1,1,Rural,0,31,36.24
401,4,3,Downtown,1,30,32.09
2441,1,1,Suburb,0,10,71.05
2043,3,3,Suburb,1,25,73.57
2499,2,2,Downtown,1,27,88.48
400,2,1,Suburb,1,26,36.04
3262,4,4,Downtown,1,18,143.58
1702,2,1,City Center,0,26,65.61
2576,5,5,City Center,0,19,141.04
1072,2,1,Suburb,1,2,53.8
2229,3,3,Suburb,1,15,84.59
1063,3,3,Downtown,1,38,45.03
1363,4,3,Suburb,1,28,72.18
3140,3,3,Industrial Area,1,14,105.8
1667,3,3,City Center,0,29,79.24
1952,2,2,Suburb,0,39,37.38
2409,2,2,Suburb,1,0,101.5
2147,4,4,Rural,0,28,56.39
1905,2,1,Suburb,1,29,57.86
2055,2,2,Industrial Area,1,39,50.12
3482,4,4,City Center,0,31,129.37
1760,2,2,Rural,1,9,54.23
1941,5,4,Downtown,1,26,89.85
2535,3,2,Downtown,1,7,138.62
2574,3,3,City Center,0,35,95.43
2631,4,4,Downtown,1,34,92.21
2247,1,1,Industrial Area,1,35,45.41
1000,2,2,Suburb,1,35,31.97
2943,3,2,City Center,0,24,116.13
998,2,1,Rural,1,19,35.8
2012,3,2,Suburb,1,16,75.87
1272,4,4,Downtown,1,22,72.04
1755,3,2,Downtown,1,24,72.15
2030,2,1,Rural,1,30,47.09
2025,5,5,Industrial Area,1,5,92.38
2095,3,3,Rural,0,34,38.24
2930,3,3,City Center,1,3,172.35
2117,2,2,Rural,0,39,36.44
1629,4,4,Downtown,1,19,91.19
2475,3,3,Industrial Area,1,40,53.97
2633,4,4,Industrial Area,0,0,92.22
941,4,4,Rural,1,25,37.19
2218,2,2,City Center,1,33,75.11
2291,3,2,Downtown,0,9,120.28
1592,4,3,Suburb,1,22,70.36
2763,2,2,Industrial Area,1,23,77.58
1695,4,4,Rural,1,12,46.36
1888,5,5,City Center,1,28,100.71
1679,3,2,City Center,1,26,80.26
1811,3,2,Downtown,1,30,74.69
1033,4,3,Industrial Area,1,9,57.63
792,4,4,Downtown,1,30,59.84
2916,2,1,Suburb,1,38,49.81
1207,1,1,Suburb,1,9,43.07
1106,3,2,Suburb,1,23,45.88
400,3,3,City Center,1,32,42.21
1353,3,2,Industrial Area,1,13,56.31
874,3,3,Downtown,1,34,47.18
2949,2,1,Downtown,1,33,86.99
2507,3,2,Suburb,1,16,85.79
1318,2,2,Industrial Area,1,20,38.75
3377,3,3,Industrial Area,0,31,67.91
2487,3,2,Rural,1,2,75.3
1573,2,2,Industrial Area,1,14,46.12
400,2,2,Industrial Area,1,7,29.06
3404,3,3,Downtown,1,31,116.41
827,3,3,Industrial Area,1,37,21.44
648,2,2,Industrial Area,1,25,15.39
2516,5,5,Downtown,1,29,106.06
3508,3,3,Industrial Area,1,8,122.59
2769,5,5,Downtown,1,31,111.19
2195,3,2,Rural,1,10,71.5
2216,3,2,City Center,1,21,108.13
2397,4,3,Downtown,1,33,88.29
2331,3,3,Downtown,0,40,63.25
1997,3,2,Industrial Area,0,17,57.31
1873,2,2,Downtown,1,18,81.4
1756,3,3,Suburb,1,17,78.84
1272,2,1,Suburb,1,36,35.51
1604,2,1,Rural,1,17,51.18
615,1,1,Downtown,0,11,38.61
1731,1,1,Industrial Area,0,3,49.49
1108,5,5,Industrial Area,1,26,48.28
1027,2,2,City Center,0,4,78.46
1926,3,2,Rural,1,5,68.15
2774,4,4,Industrial Area,1,12,98.37
2443,3,3,City Center,1,22,122.15
701,2,1,Industrial Area,0,24,24.95
1107,3,2,City Center,0,3,82.7
2459,3,3,Suburb,1,31,71.83
1112,3,2,Suburb,1,14,50.45
1643,4,3,Industrial Area,0,25,43.78
2185,5,4,Rural,1,10,65.89
1122,3,3,Downtown,0,8,69.3
1874,2,2,Rural,1,10,58.92
866,3,3,Rural,0,1,41.12
1379,1,1,Downtown,1,26,56.41
2024,4,4,Suburb,1,25,72.57
685,2,2,Suburb,0,7,51.84
2108,2,2,Downtown,1,20,101.89
1786,4,3,City Center,1,20,92.53
2187,3,3,Rural,1,7,75.38
1957,2,1,Industrial Area,0,0,72.97
2755,3,2,Suburb,1,37,53.04
1888,4,4,Industrial Area,0,12,70.66
1499,2,1,Downtown,1,8,82.39
1886,4,4,Industrial Area,1,27,57.98
2180,1,1,Industrial Area,1,5,71.91
1834,4,3,Rural,1,22,53.87
1828,4,4,Downtown,1,35,77.42
1309,2,1,Industrial Area,1,16,52.11
1336,3,3,Suburb,0,8,66.56
818,2,1,Downtown,0,11,51.79
3025,3,3,Suburb,1,21,91.28
929,3,2,City Center,1,11,82.77
1315,3,3,Industrial Area,0,5,56.52
1297,2,1,Downtown,1,8,69.05
2426,2,1,Suburb,1,36,58.93
1594,1,1,Industrial Area,1,2,52.52
2673,2,1,Rural,0,33,47.96
1329,3,3,Suburb,1,7,69.16
1995,4,3,Suburb,0,9,80.96
1215,3,3,City Center,0,40,51.57
3302,3,2,Rural,1,8,89.93
969,5,4,City Center,0,13,78.69
2017,3,3,Rural,0,36,33.49
2244,5,5,Suburb,0,26,76.72
2090,3,3,City Center,1,40,74.56
1670,2,1,Industrial Area,0,31,39.83
1709,1,1,Rural,0,3,54.54
1831,3,3,Suburb,1,1,93.28
1697,2,1,Downtown,1,32,65.13
2475,2,2,Rural,1,20,65.64
3347,3,2,Rural,1,0,99.72
1410,3,3,Industrial Area,1,10,55.51
841,3,3,Rural,1,0,54.21
1738,2,1,Rural,0,10,44.33
3606,2,2,Industrial Area,1,6,124.2
1237,3,3,Industrial Area,1,1,57.15
2947,5,4,City Center,0,14,148.46
2974,3,3,Suburb,1,7,116.5
1412,4,3,Suburb,0,25,58.13
2198,4,3,City Center,1,39,94.41
2940,3,3,Suburb,1,34,66.71
1535,2,2,Rural,1,40,35.38
1657,3,2,City Center,0,40,65.19
1393,3,3,City Center,0,20,84.28
1090,3,3,Suburb,0,37,17.47
1346,3,2,Downtown,0,7,87.32
943,3,3,Suburb,1,31,40.68
1824,2,1,Downtown,1,7,95.95
1261,3,3,City Center,1,9,97.02
1964,2,2,Downtown,1,22,70.29
711,4,4,Rural,1,3,50.63
2032,2,1,Industrial Area,1,37,55.29
2383,1,1,Downtown,0,29,65.51
404,3,2,Industrial Area,1,40,18.14
2062,3,3,Rural,1,22,55.27
2659,3,3,Industrial Area,1,4,98.6
953,2,2,Rural,1,20,33.26
2971,3,3,Industrial Area,1,5,99.67
2093,2,2,Industrial Area,0,16,59.85
1306,5,4,Suburb,1,24,71.24
1761,4,4,Downtown,0,23,86.84
2191,3,2,Industrial Area,1,21,65.9
1853,2,2,City Center,1,12,97.53
2177,3,2,Suburb,1,16,87.92
1156,1,1,Downtown,1,13,55.09
1919,3,3,Suburb,1,33,44.08
810,2,2,Downtown,0,25,41.19
1722,4,4,Rural,0,18,57.62
1167,1,1,Industrial Area,1,25,29.61
1285,3,3,City Center,0,2,79.75
2665,3,3,Suburb,0,1,105.11
2564,3,2,Suburb,0,27,71.39
2226,1,1,Suburb,1,1,84.52
1035,5,4,Suburb,0,21,55.76
1579,3,3,Industrial Area,1,6,68.72
2649,3,2,Downtown,1,3,139.59
1899,2,2,Industrial Area,1,37,32.02
3424,3,3,Rural,0,38,66.83
2075,3,3,Industrial Area,1,19,68.61
1934,1,1,Industrial Area,1,5,66.96
1584,2,2,Rural,1,8,53.43
1893,4,4,Industrial Area,1,30,61.64
1693,2,2,Downtown,1,25,67.81
2296,2,1,City Center,0,35,79.33
2470,3,2,Rural,1,25,61.99
1250,4,3,Suburb,0,27,51.37
868,1,1,Downtown,0,4,38.17
515,3,3,City Center,1,9,59.68
2156,2,1,Downtown,1,17,94.73
1028,1,1,Downtown,0,14,56.05
400,1,1,Suburb,1,32,16.96
2072,4,4,City Center,1,4,151.15
3545,2,1,Downtown,0,36,87.27
1796,1,1,Suburb,1,39,36.11
2387,3,2,Rural,1,21,63.0
1857,4,4,Suburb,1,21,76.74
1731,2,2,Industrial Area,0,21,43.09
2443,3,3,Suburb,0,14,93.69
1597,1,1,Suburb,0,16,48.71
1987,3,2,Suburb,0,27,57.83
2025,3,2,Downtown,1,21,89.7
1332,3,3,City Center,1,20,87.97
2494,2,2,Suburb,1,16,91.21
1678,2,1,Suburb,1,4,81.97
1271,2,1,Industrial Area,0,17,41.04
2176,2,2,Industrial Area,1,16,76.77
1171,1,1,Rural,1,3,39.97
1820,4,3,Rural,0,6,62.52
1794,5,4,Industrial Area,0,24,56.27
2560,5,5,City Center,1,36,104.95
2132,4,4,Rural,1,39,44.66
1782,3,2,City Center,1,39,63.14
2372,3,2,Industrial Area,0,8,74.08
2773,2,2,Rural,0,18,68.71
2190,3,3,Suburb,1,8,89.69
1807,3,2,Industrial Area,1,22,44.33
882,3,3,Rural,0,30,15.46
1054,4,4,City Center,1,31,52.16
1586,2,2,City Center,1,30,59.42
1373,2,2,Rural,1,16,34.13
1669,4,3,City Center,0,38,60.49
1840,1,1,Rural,1,21,44.43
2171,3,2,Rural,1,34,36.87
1751,4,4,City Center,1,29,83.51
2141,3,3,Downtown,0,39,56.59
1845,3,3,Suburb,0,36,44.67
417,2,1,Industrial Area,1,25,23.46
1142,2,1,Suburb,1,5,52.71
1699,4,4,Industrial Area,1,33,49.07
953,3,2,Industrial Area,1,31,31.07
2220,3,2,Suburb,0,24,59.98
2872,1,1,Rural,1,12,69.04
2653,1,1,City Center,1,37,82.55
1651,5,4,Downtown,1,37,75.12
2844,2,2,Downtown,0,1,143.58
1904,3,3,Downtown,1,4,118.93
1564,1,1,Suburb,1,10,51.28
1371,3,3,Suburb,1,10,56.93
1588,5,5,Rural,1,23,43.53
1528,3,3,Downtown,1,13,91.95
1919,2,1,Rural,1,29,32.26
1912,3,2,Downtown,1,39,69.99
1802,4,4,Suburb,1,34,54.92
2106,3,2,City Center,1,20,114.77
2633,4,4,City Center,1,4,167.61
2465,3,3,City Center,0,37,82.19
761,4,3,City Center,0,1,76.51
400,3,3,Industrial Area,1,39,17.46
2454,2,2,Downtown,1,36,78.06
843,2,2,City Center,1,33,36.29
1643,2,1,Industrial Area,0,10,52.26
981,4,4,Industrial Area,0,35,27.54
539,4,3,Industrial Area,0,10,33.81
2179,3,2,Rural,1,8,59.89
2331,2,2,Rural,1,5,76.37
1396,2,1,Industrial Area,1,33,31.39
400,4,4,City Center,0,36,41.96
1418,3,3,Downtown,1,31,57.36
2074,2,1,Suburb,1,11,75.93
765,3,2,Rural,0,31,27.65
1928,1,1,City Center,1,16,82.87
1789,2,2,City Center,0,3,99.18
2206,3,3,Suburb,1,32,68.31
1884,2,2,Suburb,1,8,84.29
1119,5,5,City Center,1,33,71.04
2638,2,2,Suburb,0,38,51.6
1689,2,1,City Center,0,29,62.69
1781,2,2,Suburb,1,19,74.23
1147,4,4,Suburb,0,38,30.52
1490,3,2,City Center,1,22,82.85
1181,3,2,Industrial Area,1,40,31.59
1679,1,1,City Center,1,34,51.87
2998,1,1,Downtown,1,22,105.86
840,3,2,Suburb,1,38,18.84
671,4,4,Rural,1,22,34.98
2830,4,4,Suburb,1,36,77.48
1653,1,1,Downtown,0,22,51.81
1332,3,3,Rural,0,38,31.99
2528,4,4,Rural,0,27,55.98
1376,2,2,City Center,1,18,70.77
3078,4,4,Industrial Area,1,29,72.48
2275,2,2,City Center,1,20,109.76
1458,5,4,Rural,1,23,39.86
3310,4,4,Rural,1,20,76.14
1376,5,5,Industrial Area,1,25,50.96
2319,3,3,Suburb,0,35,55.55
2010,2,1,Industrial Area,1,25,54.99
2711,5,5,City Center,1,32,118.88
2893,2,2,Suburb,1,35,68.02
1822,2,1,City Center,0,3,91.94
1273,3,3,Industrial Area,1,8,54.13
2122,4,4,Suburb,1,7,84.53
1326,4,4,Industrial Area,1,1,70.28
3209,2,2,Downtown,1,28,114.04
1896,4,4,Rural,1,22,51.65
1544,3,2,Suburb,0,5,70.26
1929,1,1,Rural,0,35,29.49
857,2,2,Downtown,1,20,56.05
1120,2,2,Suburb,0,21,41.3
2640,2,2,Rural,1,8,69.33
1340,5,5,Rural,1,33,48.28
1067,3,2,Suburb,1,25,48.07
2176,3,3,Rural,0,0,71.23
2630,5,4,Rural,1,35,60.35
